,yield_spread,credit_spread,jobless_claims,building_permits,volatility_proxy
1986-04-30,-0.3099999999999996,-2.8899999999999997,-376600.0,1780.0,-23.015454545454546
1986-05-31,-0.8600000000000003,-2.579999999999999,-386812.5,1858.0,-18.8875
1986-06-30,-0.8799999999999999,-2.54,-388600.0,1797.0,-18.598095238095237
1986-07-31,-0.7400000000000002,-2.8600000000000003,-374187.5,1790.0,-19.63909090909091
1986-08-31,-1.0,-3.01,-365812.5,1780.0,-18.638095238095236
1986-09-30,-1.5600000000000005,-2.749999999999999,-394950.0,1726.0,-22.705238095238094
1986-10-31,-1.58,-2.8100000000000005,-398312.5,1686.0,-22.52391304347826
1986-11-30,-1.21,-2.8200000000000003,-389000.0,1675.0,-18.63157894736842
1986-12-31,-0.20000000000000018,-2.8600000000000003,-366350.0,1644.0,-19.758636363636363
1987-01-31,-0.6500000000000004,-2.6400000000000006,-364125.0,1903.0,-20.76666666666667
1987-02-28,-1.1500000000000004,-2.4000000000000004,-343950.0,1690.0,-23.446315789473687
1987-03-31,-1.12,-2.3599999999999994,-353687.5,1689.0,-21.83727272727273
1987-04-30,-1.6499999999999995,-2.0199999999999996,-338312.5,1704.0,-26.88142857142857
1987-05-31,-1.7599999999999998,-1.9000000000000004,-333937.5,1601.0,-25.4115
1987-06-30,-1.67,-2.119999999999999,-331750.0,1500.0,-21.624545454545455
1987-07-31,-1.8699999999999992,-2.16,-326812.5,1522.0,-17.80090909090909
1987-08-31,-2.0299999999999994,-2.040000000000001,-320687.5,1516.0,-20.849047619047617
1987-09-30,-2.2,-1.8900000000000006,-325600.0,1511.0,-22.893809523809523
1987-10-31,-2.2299999999999995,-2.0999999999999996,-312437.5,1514.0,-58.219545454545454
1987-11-30,-2.169999999999999,-2.370000000000001,-304800.0,1447.0,-49.4365
1987-12-31,-2.2200000000000006,-2.299999999999999,-301187.5,1457.0,-41.7640909090909
1988-01-31,-1.8399999999999999,-2.4000000000000004,-315500.0,1345.0,-38.3365
1988-02-29,-1.6300000000000008,-2.4099999999999984,-328300.0,1244.0,-33.674
1988-03-31,-1.7899999999999991,-2.200000000000001,-327187.5,1438.0,-29.356956521739132
1988-04-30,-1.8500000000000005,-2.1799999999999997,-311250.0,1525.0,-27.405
1988-05-31,-2.0,-1.9499999999999993,-309850.0,1429.0,-25.716666666666665
1988-06-30,-1.4100000000000001,-2.08,-312875.0,1444.0,-25.270909090909093
1988-07-31,-1.3100000000000005,-2.049999999999999,-310937.5,1485.0,-23.644
1988-08-31,-1.25,-1.950000000000001,-313200.0,1439.0,-23.707391304347826
1988-09-30,-0.7900000000000009,-1.92,-322687.5,1460.0,-19.524285714285714
1988-10-31,-0.5,-1.6099999999999994,-308812.5,1436.0,-20.48190476190476
1988-11-30,-0.6100000000000012,-1.5199999999999996,-295050.0,1516.0,-21.65904761904762
1988-12-31,-0.34999999999999964,-1.540000000000001,-289125.0,1508.0,-17.754285714285714
1989-01-31,0.02999999999999936,-1.5600000000000005,-292800.0,1501.0,-17.75809523809524
1989-02-28,0.1899999999999995,-1.4399999999999995,-292562.5,1466.0,-18.312631578947368
1989-03-31,0.4900000000000002,-1.3100000000000005,-297500.0,1383.0,-17.475454545454543
1989-04-30,0.6600000000000001,-1.4299999999999997,-316500.0,1214.0,-16.8875
1989-05-31,0.9500000000000011,-1.6000000000000014,-315400.0,1376.0,-17.435
1989-06-30,1.25,-1.75,-318187.5,1381.0,-16.73227272727273
1989-07-31,1.2200000000000006,-1.8499999999999996,-328562.5,1322.0,-18.0565
1989-08-31,0.8800000000000008,-1.7700000000000014,-341400.0,1283.0,-19.323478260869564
1989-09-30,0.8300000000000001,-1.7200000000000006,-336562.5,1334.0,-16.7465
1989-10-31,0.8300000000000001,-1.8000000000000007,-333400.0,1314.0,-21.950909090909093
1989-11-30,0.6800000000000006,-1.9400000000000004,-359625.0,1365.0,-20.932380952380953
1989-12-31,0.6099999999999994,-1.9800000000000004,-340937.5,1344.0,-18.235
1990-01-31,0.019999999999999574,-1.7299999999999986,-347350.0,1422.0,-23.49909090909091
1990-02-28,-0.23000000000000043,-1.67,-363312.5,1748.0,-23.326842105263157
1990-03-31,-0.3100000000000005,-1.620000000000001,-360812.5,1329.0,-18.831363636363637
1990-04-30,-0.5299999999999994,-1.5100000000000016,-348400.0,1246.0,-20.4575
1990-05-31,-0.5800000000000001,-1.6500000000000004,-354437.5,1136.0,-18.151818181818182
1990-06-30,-0.19000000000000128,-1.7400000000000002,-357000.0,1067.0,-17.582857142857144
1990-07-31,-0.3200000000000003,-1.7299999999999986,-360550.0,1108.0,-18.932857142857145
1990-08-31,-0.6199999999999992,-1.6600000000000001,-364562.5,1078.0,-27.77521739130435
1990-09-30,-0.6900000000000013,-1.75,-375812.5,1069.0,-28.81894736842105
1990-10-31,-0.6100000000000012,-2.0199999999999996,-392200.0,976.0,-30.130434782608695
1990-11-30,-0.580000000000001,-2.2299999999999986,-411062.5,925.0,-25.106666666666666
1990-12-31,-0.7700000000000005,-2.3499999999999996,-439500.0,941.0,-22.5845
1991-01-31,-1.1799999999999997,-2.3599999999999994,-453550.0,861.0,-26.931818181818183
1991-02-28,-1.5999999999999996,-2.2200000000000006,-442500.0,786.0,-22.11263157894737
1991-03-31,-1.9899999999999993,-1.9800000000000004,-470750.0,853.0,-19.041052631578946
1991-04-30,-2.129999999999999,-1.9000000000000004,-494200.0,911.0,-18.927272727272726
1991-05-31,-2.29,-1.7899999999999991,-479375.0,916.0,-17.18045454545455
1991-06-30,-2.379999999999999,-1.6800000000000015,-456250.0,991.0,-17.575
1991-07-31,-2.4499999999999993,-1.620000000000001,-435700.0,964.0,-17.669545454545457
1991-08-31,-2.24,-1.75,-419750.0,973.0,-15.932727272727272
1991-09-30,-2.2,-1.8599999999999994,-428950.0,944.0,-17.029
1991-10-31,-2.3200000000000003,-1.96,-423937.5,974.0,-16.846363636363638
1991-11-30,-2.6100000000000003,-2.0299999999999994,-424937.5,991.0,-17.6815
1991-12-31,-2.66,-2.17,-439050.0,984.0,-18.018571428571427
1992-01-31,-3.0,-2.1000000000000005,-456062.5,1061.0,-17.499545454545455
1992-02-29,-3.2800000000000002,-1.8900000000000006,-440312.5,1077.0,-17.050526315789472
1992-03-31,-3.56,-1.71,-442150.0,1146.0,-16.222727272727273
1992-04-30,-3.7500000000000004,-1.7300000000000004,-434062.5,1082.0,-16.18857142857143
1992-05-31,-3.57,-1.740000000000001,-421000.0,1054.0,-14.728
1992-06-30,-3.5,-1.790000000000001,-420300.0,1056.0,-14.753181818181817
1992-07-31,-3.59,-2.0,-416062.5,1057.0,-13.303636363636365
1992-08-31,-3.29,-2.0600000000000005,-419875.0,1089.0,-14.422380952380953
1992-09-30,-3.1999999999999997,-2.1999999999999993,-430350.0,1075.0,-14.258571428571429
1992-10-31,-3.4899999999999998,-2.25,-412250.0,1114.0,-17.47863636363636
1992-11-30,-3.7800000000000002,-2.0900000000000007,-391950.0,1132.0,-14.594
1992-12-31,-3.8499999999999996,-2.040000000000001,-368500.0,1118.0,-12.781363636363636
1993-01-31,-3.5799999999999996,-2.0700000000000003,-348250.0,1176.0,-12.5745
1993-02-28,-3.23,-2.130000000000001,-341200.0,1177.0,-13.505263157894738
1993-03-31,-2.9100000000000006,-2.17,-334812.5,1148.0,-13.657391304347826
1993-04-30,-3.01,-2.170000000000001,-350312.5,1056.0,-13.49952380952381
1993-05-31,-3.04,-2.170000000000001,-355687.5,1104.0,-13.535
1993-06-30,-2.92,-2.1100000000000003,-345050.0,1112.0,-13.002272727272727
1993-07-31,-2.7499999999999996,-2.12,-344187.5,1130.0,-11.99952380952381
1993-08-31,-2.65,-1.92,-341800.0,1174.0,-11.952272727272726
1993-09-30,-2.2700000000000005,-1.9799999999999995,-353437.5,1230.0,-12.621428571428572
1993-10-31,-2.34,-1.9799999999999995,-337750.0,1251.0,-11.377142857142857
1993-11-30,-2.6999999999999997,-1.9400000000000004,-346950.0,1287.0,-13.370952380952382
1993-12-31,-2.8099999999999996,-1.9200000000000008,-346437.5,1357.0,-10.864545454545455
1994-01-31,-2.7,-1.9000000000000004,-332875.0,1461.0,-10.605238095238096
1994-02-28,-2.7199999999999998,-1.79,-338750.0,1390.0,-12.885263157894736
1994-03-31,-3.1400000000000006,-1.6500000000000004,-363250.0,1269.0,-14.240869565217393
1994-04-30,-3.4099999999999997,-1.5499999999999998,-340000.0,1342.0,-15.334736842105263
1994-05-31,-3.17,-1.4399999999999995,-340150.0,1392.0,-13.39
1994-06-30,-2.8499999999999996,-1.5500000000000007,-354625.0,1396.0,-12.94590909090909
1994-07-31,-3.04,-1.5000000000000009,-345312.5,1357.0,-12.1635
1994-08-31,-2.7700000000000005,-1.5,-341600.0,1335.0,-11.39304347826087
1994-09-30,-2.7299999999999995,-1.5200000000000005,-337812.5,1377.0,-12.612380952380953
1994-10-31,-2.9800000000000004,-1.459999999999999,-334125.0,1412.0,-15.04952380952381
1994-11-30,-2.67,-1.3600000000000003,-331900.0,1397.0,-16.24952380952381
1994-12-31,-2.3599999999999994,-1.29,-329250.0,1340.0,-13.806666666666667
1995-01-31,-2.25,-1.2999999999999998,-325850.0,1396.0,-11.711904761904762
1995-02-28,-1.5499999999999998,-1.38,-330125.0,1282.0,-11.197368421052632
1995-03-31,-1.2199999999999998,-1.4999999999999991,-333187.5,1254.0,-11.971304347826086
1995-04-30,-1.0099999999999998,-1.54,-341062.5,1226.0,-12.516842105263157
1995-05-31,-0.6200000000000001,-1.5699999999999994,-344250.0,1259.0,-12.458636363636362
1995-06-30,-0.16999999999999993,-1.7300000000000004,-364375.0,1271.0,-13.17909090909091
1995-07-31,-0.4300000000000006,-1.759999999999999,-369062.5,1305.0,-14.076500000000001
1995-08-31,-0.75,-1.6999999999999993,-370150.0,1354.0,-13.348695652173912
1995-09-30,-0.40000000000000036,-1.7299999999999995,-360500.0,1386.0,-12.237
1995-10-31,-0.28000000000000025,-1.71,-362350.0,1421.0,-14.237727272727273
1995-11-30,-0.1299999999999999,-1.75,-366187.5,1400.0,-12.971904761904764
1995-12-31,-0.11000000000000032,-1.7800000000000002,-374937.5,1430.0,-12.288
1996-01-31,-0.09000000000000075,-1.8199999999999994,-368350.0,1442.0,-14.150454545454545
1996-02-29,-0.5899999999999999,-1.8200000000000003,-366125.0,1387.0,-16.238
1996-03-31,-0.96,-1.7599999999999998,-382000.0,1420.0,-19.081904761904763
1996-04-30,-1.29,-1.6799999999999997,-378050.0,1437.0,-17.512857142857143
1996-05-31,-1.5,-1.5600000000000005,-377562.5,1463.0,-16.96681818181818
1996-06-30,-1.6400000000000006,-1.4900000000000002,-347687.5,1457.0,-17.6755
1996-07-31,-1.4699999999999998,-1.4799999999999995,-344000.0,1429.0,-19.34181818181818
1996-08-31,-1.42,-1.54,-339687.5,1450.0,-16.478181818181817
1996-09-30,-1.5300000000000002,-1.5199999999999996,-331550.0,1413.0,-17.2785
1996-10-31,-1.29,-1.54,-337187.5,1392.0,-17.401304347826088
1996-11-30,-0.8900000000000006,-1.5899999999999999,-340625.0,1358.0,-17.1635
1996-12-31,-1.0099999999999998,-1.5899999999999999,-337800.0,1412.0,-20.118000000000002
1997-01-31,-1.33,-1.5099999999999998,-347812.5,1411.0,-21.031363636363636
