,Size,Value,Momentum,Profitability,Investment
2010-03-01,0.537892408792761,0.214872512732616,0.0,5.603292352676648e-17,0.24723507847462298
2010-04-01,0.5369886894892677,0.2233008125353344,0.0,0.0,0.239710497975398
2010-05-01,0.5529061977505929,0.24764180715188228,0.0,6.396792817664476e-17,0.1994519950975247
2010-06-01,8.006222733039043e-18,0.0,0.16340127235145693,0.8365987276485432,0.0
2010-07-01,0.0,5.759883521941159e-18,0.14864474716318476,0.8513552528368153,1.9198402635856732e-17
2010-08-01,5.876786442744485e-17,0.0,0.1588998722600759,0.8411001277399242,0.0
2010-09-01,2.262667180998065e-17,0.0,0.15641155578554344,0.8435884442144564,4.008499323174464e-17
2010-10-01,0.5292364612922524,0.08433304669855975,0.0,0.0,0.3864304920091879
2010-11-01,0.5332638634735585,0.041883412740529556,1.3010426069826053e-17,1.2576745200831851e-17,0.42485272378591193
2010-12-01,0.5402363012375627,7.606355866343617e-17,0.0,5.954980432376633e-17,0.4597636987624371
2011-01-01,0.5269580047974907,0.0,3.911259337241457e-17,7.674626721892314e-17,0.4730419952025092
2011-02-01,0.5079981114698792,1.2714642164644854e-16,2.4170932182848718e-17,0.0,0.4920018885301208
2011-03-01,0.5110736820061296,0.0005653853987993424,2.168404344971009e-18,3.0357660829594124e-18,0.488360932595071
2011-04-01,0.5238075880351518,0.0,0.0,1.843008167953796e-16,0.4761924119648479
2011-05-01,0.5242939523209947,0.0,0.0,1.5762944335223625e-16,0.47570604767900515
2011-06-01,0.5268847042049755,0.0,2.4584284261108807e-17,1.237210204077521e-16,0.47311529579502437
2011-07-01,0.5336374575453735,4.01425854362758e-17,3.0357660829594124e-18,0.0,0.46636254245462644
2011-08-01,0.5356926327347518,0.0,0.0,2.1291020162184093e-17,0.46430736726524824
2011-09-01,0.0,3.04585398389638e-17,0.10042386651704271,0.8995761334829572,0.0
2011-10-01,1.72636610630193e-16,9.806380656162207e-17,0.0774420561031102,0.9225579438968896,0.0
2011-11-01,0.0,4.614322087048017e-17,0.0838724512160204,0.9161275487839795,0.0
2011-12-01,0.0,3.944155059846955e-17,0.09592171622461383,0.904078283775386,6.15108032029889e-17
2012-01-01,0.518125181754198,1.373514745949683e-16,2.9598719308854265e-17,0.0,0.48187481824580186
2012-02-01,0.5351553080121338,0.0,4.155882452408499e-17,6.625152900244236e-17,0.46484469198786615
2012-03-01,0.525270413251011,4.418801479236234e-17,0.0,0.0,0.47472958674898913
2012-04-01,0.5178226333354896,0.0,6.757290040015906e-17,0.0,0.48217736666451033
2012-05-01,0.5105553067108268,0.0,6.589916329638455e-18,6.738316501997409e-17,0.48944469328917306
2012-06-01,0.0,1.8208283366795428e-17,0.11522214156360304,0.8847778584363969,8.407739254173041e-17
2012-07-01,0.0,1.3036309940760608e-16,0.1160483940043032,0.8839516059956967,0.0
2012-08-01,0.4821740498486347,0.0,7.264154555652878e-18,1.6913553890773864e-16,0.5178259501513651
2012-09-01,0.48781164054679443,0.0,0.0,4.54822811357669e-17,0.5121883594532055
2012-10-01,0.481939521081428,0.0,0.0,2.0003530082357557e-17,0.518060478918572
2012-11-01,0.46451937375562463,0.0,0.0,2.0464316005663893e-17,0.5354806262443753
2012-12-01,0.4616587944907212,0.0,0.0,0.0,0.5383412055092788
2013-01-01,0.4662101595484237,0.0,6.930762387613587e-17,1.7157499379583108e-16,0.5337898404515762
2013-02-01,0.46009386994390467,4.336808689942018e-18,8.402566836762659e-19,0.0,0.5399061300560953
2013-03-01,0.45510672562503723,2.621058751983707e-17,0.0,0.0,0.5448932743749628
2013-04-01,0.4518065380686541,0.0,6.442871409995111e-17,1.3343818237865348e-16,0.5481934619313458
2013-05-01,0.4379046290157798,0.0,0.0,3.867891250342037e-17,0.5620953709842202
2013-06-01,0.45149849855598695,1.0268749826153335e-16,4.5509386190079055e-17,4.103705222857635e-17,0.5485015014440129
2013-07-01,0.0,0.0,0.07806282163696558,0.9219371783630343,0.0
2013-08-01,0.46303828052136786,0.0,0.0,1.4582519219930032e-16,0.536961719478632
2013-09-01,0.47266576522401427,2.2411644751401527e-17,6.058403155236382e-17,8.951020670109816e-17,0.5273342347759855
2013-10-01,0.49028982819607275,0.0,0.0,1.4187124240151727e-16,0.5097101718039271
2013-11-01,0.4781174734166353,0.0,0.0,5.277015261394291e-18,0.5218825265833646
2013-12-01,0.48360402882775005,0.0,0.0,0.0,0.5163959711722499
2014-01-01,0.4803528095509142,1.2875239611444267e-16,3.0261099073607134e-17,0.0,0.5196471904490856
2014-02-01,0.48946310174931645,8.269752070633185e-17,0.0,1.0281963540130501e-16,0.5105368982506835
2014-03-01,0.4916969218815077,0.0,4.736608241046046e-17,0.0,0.5083030781184922
2014-04-01,0.47706425313442125,1.231653667943533e-16,0.0,0.0,0.5229357468655786
2014-05-01,0.4528863060188971,0.002674997677425864,2.0383000842727483e-17,1.0408340855860843e-16,0.544438696303677
2014-06-01,0.44826854961309887,0.017056169444259195,0.0,5.963111948670274e-19,0.534675280942642
2014-07-01,0.4698715908773094,0.037492763274325304,0.0,0.0,0.4926356458483653
2014-08-01,0.44725332799982603,0.02679613728353693,3.968179951296947e-17,7.632783294297952e-17,0.525950534716637
2014-09-01,0.45101373497059905,0.02914913342827402,8.673617379884035e-18,1.0408340855860843e-17,0.519837131601127
2014-10-01,0.43605623114371544,0.014116971265433315,0.0,2.4286128663675302e-17,0.5498267975908513
2014-11-01,0.0,3.2408325495875154e-18,0.0778976453762809,0.9221023546237191,0.0
2014-12-01,5.390649808050834e-17,2.320608668341363e-17,0.07461731143657095,0.9253826885634289,8.74782251033852e-17
2015-01-01,4.553079302562916e-18,0.0,0.08875060664287186,0.9112493933571281,6.991880941487781e-17
2015-02-01,0.0,0.0,0.10170998552011312,0.898290014479887,0.0
2015-03-01,2.3413861495423668e-17,4.943209604852631e-17,0.09187034984586305,0.9081296501541369,5.04119342748876e-17
