,yield_spread,credit_spread,jobless_claims,bldg_permits,vix
1969-01-01,0.2599999999999998,-1.2800000000000002,-199500.0,1389.0,-2.4377063638464467
1969-02-01,0.41999999999999993,-1.1099999999999994,-191500.0,1459.0,-2.400159868434665
1969-03-01,0.4900000000000002,-1.21,-196000.0,1495.0,-2.3113925790390835
1969-04-01,1.2400000000000002,-1.37,-186000.0,1438.0,-2.3553574087021936
1969-05-01,2.3499999999999996,-1.1999999999999993,-184000.0,1441.0,-2.1167004179642754
1969-06-01,2.33,-1.13,-182250.0,1328.0,-2.5211715553375487
1969-07-01,1.8899999999999997,-1.12,-192000.0,1349.0,-4.7539721114160045
1969-08-01,2.499999999999999,-1.17,-208750.0,1278.0,-2.975139916075058
1969-09-01,1.9900000000000002,-0.8900000000000006,-199000.0,1317.0,-3.038381530215208
1969-10-01,1.9000000000000004,-1.120000000000001,-194750.0,1263.0,-2.5326545084060736
1969-11-01,1.71,-1.1100000000000003,-199250.0,1216.0,-2.2811264771935558
1969-12-01,1.3200000000000003,-1.0,-206750.0,1191.0,-3.3288568518880126
1970-01-01,1.1900000000000004,-1.0699999999999994,-219750.0,1155.0,-2.9355523715957195
1970-02-01,1.7400000000000002,-1.5399999999999991,-251250.0,1062.0,-3.2709363236186957
1970-03-01,0.6899999999999995,-1.5600000000000005,-258500.0,1118.0,-3.180451899591113
1970-04-01,0.71,-1.3099999999999996,-268250.0,1132.0,-3.482486981797113
1970-05-01,0.040000000000000036,-1.0700000000000003,-325250.0,1224.0,-9.157645552104125
1970-06-01,-0.22999999999999954,-1.4100000000000001,-304500.0,1328.0,-5.047696662543826
1970-07-01,-0.25,-1.9400000000000004,-296500.0,1322.0,-4.337907264493953
1970-08-01,-0.9100000000000001,-1.9099999999999993,-286500.0,1324.0,-4.280048475614406
1970-09-01,-1.0999999999999996,-2.000000000000001,-291500.0,1394.0,-3.2411137449849603
1970-10-01,-1.13,-2.0,-318500.0,1426.0,-3.2174299405543088
1970-11-01,-1.2400000000000002,-2.540000000000001,-329500.0,1564.0,-2.9826402348033447
1970-12-01,-1.4899999999999993,-2.7299999999999995,-325250.0,1502.0,-1.9881942884206079
1971-01-01,-2.1000000000000005,-2.5,-306000.0,1767.0,-2.2578293554845357
1971-02-01,-2.39,-2.2800000000000002,-297750.0,1643.0,-2.2921773333908777
1971-03-01,-1.9900000000000002,-2.7600000000000007,-284000.0,1588.0,-2.038121439343217
1971-04-01,-1.67,-2.619999999999999,-293750.0,1759.0,-1.6413964912924728
1971-05-01,-1.7599999999999998,-2.2299999999999995,-287500.0,1745.0,-2.2310066711992653
1971-06-01,-1.6099999999999994,-2.2300000000000004,-292750.0,1972.0,-2.8947860383939665
1971-07-01,-1.4200000000000008,-2.0299999999999994,-296500.0,1903.0,-2.4664686713197383
1971-08-01,-1.0099999999999998,-2.1799999999999997,-297250.0,2069.0,-4.891334597047743
1971-09-01,-0.5899999999999999,-2.45,-325250.0,2004.0,-2.3413890480229234
1971-10-01,-0.7299999999999995,-2.5500000000000007,-320250.0,1996.0,-2.4587490208339684
1971-11-01,-0.8999999999999995,-2.570000000000001,-297250.0,2026.0,-4.4265532813594115
1971-12-01,-1.79,-2.450000000000001,-287000.0,2079.0,-2.90133741765041
1972-01-01,-2.4400000000000004,-2.2800000000000002,-273000.0,2133.0,-2.224331519444084
1972-02-01,-2.7800000000000002,-2.1500000000000004,-269250.0,2238.0,-1.6715895377395897
