Date,LargeCap,MidCap,SmallCap,EAFE,EM,AggBond,Treasury,HighYield,Corporate,REIT,Commodity,Gold
2014-03-11,0.8971297740936279,0.8703640699386597,0.8551369309425354,0.9549864530563354,0.7496166229248047,0.0001547952851979062,0.0003173681325279176,0.0002879500389099121,0.0001580359530635178,0.0003329431638121605,0.2,0.2
2014-03-12,0.9053857922554016,0.8723184466362,0.8608570694923401,0.8327601552009583,0.02839559316635132,0.00014926938456483185,0.00031082058558240533,0.0002879500389099121,0.00015085375343915075,0.0003166189417243004,0.2,0.2
2014-03-13,0.9122243523597717,0.8804062008857727,0.8649859428405762,0.8704295754432678,0.681578516960144,0.00014420210209209472,0.00030481646535918117,0.0002879500389099121,0.0001457751786801964,0.00030164956115186214,0.2,0.2
2014-03-14,0.8638210892677307,0.8713563084602356,0.8433852195739746,0.004410147666931152,0.0024912357330322266,0.00013955538452137262,0.0002993106609210372,0.0002879500389099121,0.0001421840861439705,0.0002879225939977914,0.2,0.2
2014-03-17,0.8732532858848572,0.8764153122901917,0.8302817344665527,0.016812622547149658,0.01603078842163086,0.00013529433635994792,0.0002942618157248944,0.0002879500389099121,0.0001396447914885357,0.0002753348962869495,0.2,0.2
2014-03-18,0.8832892775535583,0.8803759217262268,0.8024446964263916,0.21045786142349243,0.5201607942581177,0.000131386928842403,0.00028963200747966766,0.0002879500389099121,0.00013784924522042274,0.000263791938778013,0.2,0.2
2014-03-19,0.8800668716430664,0.8886963725090027,0.8187547922134399,0.8974147439002991,0.9918114542961121,0.00012780382530763745,0.0002853864571079612,0.0002879500389099121,0.00013657960516866297,0.00025320699205622077,0.2,0.2
2014-03-20,0.889746367931366,0.8942368030548096,0.8322663903236389,0.05527770519256592,0.014767765998840332,0.00012451810471247882,0.00028149326681159437,0.0002879500389099121,0.00013568182475864887,0.00024350054445676506,0.2,0.2
2014-03-21,0.8859934210777283,0.9019402861595154,0.8444012403488159,0.41039174795150757,0.1996123194694519,0.00012150507973274216,0.0002779231872409582,0.0002879500389099121,0.00013504699745681137,0.00023459970543626696,0.2,0.2
2014-03-24,0.895308792591095,0.8980469703674316,0.8065378069877625,0.38328778743743896,0.6483899354934692,0.00011874212941620499,0.00027464941376820207,0.0002879500389099121,0.00013459811452776194,0.0002264375943923369,0.2,0.2
2014-03-25,0.9028286337852478,0.8801915049552917,0.8204271197319031,0.20561879873275757,0.9978602528572083,0.00011620848817983642,0.00027164735365659,0.0002879500389099121,0.0001342807081528008,0.00021895290410611778,0.2,0.2
2014-03-26,0.9107103943824768,0.8822954297065735,0.8324556946754456,0.938967227935791,0.8678312301635742,0.00011388512939447537,0.000268894451437518,0.0002879500389099121,0.00013405625941231847,0.00021208942052908242,0.2,0.2
2014-03-27,0.8922837972640991,0.8139595985412598,0.7634698748588562,0.9457316398620605,0.9828640818595886,0.00011175460531376302,0.00027606109506450593,0.0002879500389099121,0.0001338975562248379,0.00020579557167366147,0.2,0.2
2014-03-28,0.9001055955886841,0.8012276291847229,0.7002386450767517,0.9770722389221191,0.9994162917137146,0.00010980090155499056,0.0002826329437084496,0.0002879500389099121,0.00013378533185459673,0.0002000240929191932,0.2,0.2
2014-03-31,0.9027721285820007,0.7684444785118103,0.6422438025474548,0.9951268434524536,0.9985846281051636,0.00010800934978760779,0.00027896827668882906,0.0002879500389099121,0.00013370598026085645,0.0001947316195582971,0.2,0.2
2014-04-01,0.9022470712661743,0.7850672006607056,0.65102219581604,0.9982444643974304,0.9998024702072144,0.00010636648949002847,0.00027560777380131185,0.00024074316024780273,0.00013364986807573587,0.00018987839575856924,0.2,0.2
2014-04-02,0.9103398323059082,0.8007320165634155,0.6787132024765015,0.9994714856147766,0.9979599118232727,0.00010485998063813895,0.00026712409453466535,0.00020653009414672852,0.0001336101850029081,0.00018542796897236258,0.2,0.2
2014-04-03,0.9177183508872986,0.8169794678688049,0.7031548619270325,0.9993411898612976,0.9977216124534607,0.00010347850184189156,0.0002593445242382586,0.00020653009414672852,0.00013358212891034782,0.00018134691345039755,0.2,0.2
2014-04-04,0.9244875311851501,0.8302610516548157,0.7155029773712158,0.9989615082740784,0.963111937046051,0.00010221168486168608,0.00025221065152436495,0.00020653009414672852,0.00013356229464989156,0.000177604568307288,0.2,0.2
2014-04-07,0.9140866994857788,0.8344788551330566,0.6579506993293762,0.9968224763870239,0.9777914881706238,0.00010105000546900555,0.00024566883803345263,0.00020653009414672852,0.0001335482666036114,0.0001741728192428127,0.2,0.2
